,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1280,0.10%,0.14%,0.15%,0.19%,0.14%,0.15%,0.18%,0.18%,0.16%,0.17%,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,0.10%,0.15%,0.14%,0.18%,0.14%,0.15%,0.19%,0.18%,0.18%,0.14%,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,0.21%,0.25%,0.24%,0.29%,0.13%,0.23%,0.24%,0.31%,0.23%,0.21%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,0.19%,0.26%,0.27%,0.28%,0.23%,0.25%,0.28%,0.30%,0.24%,0.22%,0.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,0.16%,0.20%,0.18%,0.23%,0.19%,0.21%,0.24%,0.26%,0.20%,0.19%,0.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,0.20%,0.19%,0.21%,0.22%,0.18%,0.21%,0.25%,0.27%,0.25%,0.17%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,0.14%,0.16%,0.17%,0.19%,0.17%,0.17%,0.21%,0.23%,0.21%,0.17%,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,0.19%,0.20%,0.22%,0.24%,0.19%,0.20%,0.24%,0.28%,0.24%,0.19%,0.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,0.20%,0.26%,0.21%,0.25%,0.20%,0.21%,0.32%,0.35%,0.29%,0.26%,0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,0.14%,0.14%,0.16%,0.17%,0.07%,0.18%,0.30%,0.28%,0.29%,0.21%,0.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,0.17%,0.24%,0.30%,0.30%,0.19%,0.25%,0.24%,0.28%,0.30%,0.20%,0.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,0.15%,0.21%,0.28%,0.33%,0.22%,0.22%,0.22%,0.24%,0.26%,0.17%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,0.09%,0.10%,0.15%,0.14%,0.11%,0.17%,0.15%,0.14%,0.14%,0.11%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,0.16%,0.20%,0.30%,0.28%,0.20%,0.29%,0.22%,0.20%,0.19%,0.15%,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,0.13%,0.23%,0.24%,0.33%,0.20%,0.34%,0.42%,0.47%,0.31%,0.29%,0.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,0.16%,0.19%,0.22%,0.25%,0.19%,0.20%,0.25%,0.30%,0.26%,0.18%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,0.13%,0.15%,0.14%,0.20%,0.12%,0.18%,0.20%,0.22%,0.20%,0.18%,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,0.17%,0.18%,0.18%,0.23%,0.16%,0.21%,0.19%,0.26%,0.26%,0.15%,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,0.08%,0.11%,0.14%,0.18%,0.12%,0.13%,0.20%,0.20%,0.20%,0.17%,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,0.12%,0.15%,0.17%,0.22%,0.15%,0.18%,0.20%,0.26%,0.23%,0.17%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,0.23%,0.34%,0.27%,0.24%,0.20%,0.25%,0.26%,0.28%,0.29%,0.24%,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,0.46%,0.51%,0.68%,0.89%,0.26%,0.41%,0.53%,0.59%,0.60%,0.41%,0.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,0.35%,0.39%,0.44%,0.62%,0.23%,0.31%,0.42%,0.47%,0.46%,0.31%,0.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,0.24%,0.33%,0.32%,0.48%,0.13%,0.22%,0.32%,0.38%,0.32%,0.27%,0.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,0.16%,0.23%,0.18%,0.23%,0.10%,0.18%,0.22%,0.22%,0.20%,0.18%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,0.22%,0.25%,0.30%,0.46%,0.13%,0.20%,0.27%,0.35%,0.37%,0.29%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,0.18%,0.41%,0.16%,0.60%,0.23%,0.17%,0.24%,0.44%,0.36%,0.26%,0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
